"created_at","screen_name","text","favorites","retweets"
2022-06-20 06:43:28,"bbcnewsjapan","BBCニュース - ウクライナ議会、ロシアの一部の音楽と出版物を禁止する法案可決

https://t.co/Gk7mNKX0ym",77,43
2022-06-21 12:13:00,"bbcnewsjapan","BBCニュース  - ロシア紙編集長、ウクライナ難民のためノーベル平和賞を競売に　落札価格は約140億円
https://t.co/nNsGyQkr4l",243,105
2022-06-18 02:16:35,"bbcnewsjapan","BBCニュース - イギリス、ウクライナに軍事訓練の提供を提案　ジョンソン首相がキーウ再訪

https://t.co/OxWsbEbMnO",299,113
2022-06-21 07:52:47,"bbcnewsjapan","BBCニュース - ロシア紙編集長、ウクライナ難民のためノーベル平和賞を競売に　落札価格は約140億円
https://t.co/nNsGyQCAit",424,180
2022-06-20 23:13:00,"bbcnewsjapan","BBCニュース  - ウクライナ議会、ロシアの一部の音楽と出版物を禁止する法案可決

https://t.co/Gk7mNKWsIO",41,24
2022-06-19 09:46:00,"bbcnewsjapan","BBCニュース  - ゼレンスキー大統領、前線を視察　ウクライナ南部ミコライウとオデーサ

https://t.co/rC0jheQwoT",194,59
2022-06-21 23:13:00,"bbcnewsjapan","BBCニュース - ロシア紙編集長、ウクライナ難民のためノーベル平和賞を競売に　落札価格は約140億円
https://t.co/nNsGyQkr4l",183,67
2022-06-24 12:03:00,"bbcnewsjapan","BBCニュース -  EU、ウクライナとモルドヴァを「加盟候補国」に承認　ゼレンスキー大統領は歓迎　https://t.co/4cA8i81AQz",139,35
2022-06-24 09:03:00,"bbcnewsjapan","BBCニュース  - EU、ウクライナとモルドヴァを「加盟候補国」に承認　ゼレンスキー大統領は歓迎　https://t.co/4cA8i7JZrZ",167,66
2022-06-20 02:28:59,"bbcnewsjapan","BBCニュース - ウクライナでの戦争、「何年も続く可能性」　NATO事務総長が警告

https://t.co/bLDqpEztVO",168,93
2022-06-23 03:05:52,"bbcnewsjapan","BBCニュース - ウクライナ東部の親ロシア派、兵力の半分失う＝英国防省
https://t.co/NAQnHag0WZ",485,180
2022-06-27 01:46:43,"rockfish31","2014年にウクライナはクリミアを奪われて東部ウクライナに侵攻されましたが、それ以前に軍拡なんてしてないです。軍拡を始めたのは侵略されて以降です。ロシアの侵略のせいで軍拡を始めざるをえなかったのに、それを理由にロシアが更なる侵略をする口実になる？　馬鹿げた事を言うべきではないですよ。",173,69
2022-06-22 20:42:07,"rockfish31","ウクライナ国防省によると、このピックアップトラック改造の多連装ロケット発射車両は三菱L200らしい。撃墜したロシア軍のKa-52攻撃ヘリのロケット弾を搭載したとかなんとか。　https://t.co/Rkw8VtjBjq",541,202
2022-06-19 23:35:06,"rockfish31","だから逆に言えばウクライナにATACMSを引き渡せる情勢に変化したらNSM引き渡しも有り得るけれど、現状ではやはり政治的に難しい。政治的な意味合いではNSMは小さなトマホークに近いので、ハープーンとは立ち位置が違う。",74,14
2022-06-19 09:40:35,"rockfish31","ドイツの件が無くても日本は軍拡に転じていたと思うけれど、今となっては証明出来なくなってしまったなぁ。外的要因が世論に与えた影響が強力過ぎる。それもこれもロシアがウクライナ侵攻したせい。",447,180
2022-06-24 08:55:01,"rockfish31","再送：清義明氏は米軍がファルージャで使用したM825A1白リン弾（条約違反ではない）は大騒ぎしていたのに、露軍がウクライナで使用した9M22Sクラスター・マグネシウムｰテルミット焼夷ロケット弾（条約違反兵器）には全く騒いでいない。彼の行動は二重規範なので、動機は反戦ではなく反米でしかない。",546,185
2022-06-22 12:34:40,"rockfish31","‘It’s Not Afghanistan’: Ukrainian Pilots Push Back on U.S.-Provided Drones https://t.co/OYdRmdWtiY

バイラクタルTB2無人機のような中高度長時間滞空型無人機は、ウクライナの戦場では防空システムの厚い前線での活動がほぼ無理らしい。MQ-1Cグレイイーグルだろうと同じことになるだろうと。",196,102
2022-06-26 20:02:25,"rockfish31","@dreamnpk97 @bloodymanbou 貴方にも言っておきますが、2014年の東部ウクライナの「親ロシア派の蜂起」とは「ロシアの仕込み」です。これをハイブリッド戦争と言います。しかし数カ月後にウクライナ政府軍に鎮圧されそうになったので、ロシアはハイブリッド戦争でのアプローチを止めてロシア軍（正規軍）を直接侵攻させています。",94,21
2022-06-21 13:42:15,"rockfish31","「ウクライナ戦で投入された無人機」だとスイッチブレード300（戦車破壊不可能）は投入確認されてるけど、スイッチブレード600（戦車破壊可能）とフェニックスゴースト（戦車破壊可能）は投入事例が確認されていない。",196,72
2022-06-19 12:38:53,"rockfish31","ウクライナに武器が届かない!?欧米に漂う“ゼレンスキー疲れ”とは【報道1930】 https://t.co/cCppC355sq 「多連装ロケット300はアメリカが持ってるものの7割から8割。」

アメリカ軍の多連装ロケットはもっと多いのでは？
・MLRS・・・約1000両（生産終了済み）
・HIMARS・・・約400両（2020年末時点）",445,129
2022-06-26 20:11:47,"rockfish31","ロシアは「東部ウクライナのロシア系住民の保護」を名目にこの戦争を始めたけど、その保護すべき住民に対して根こそぎ総動員を掛けて兵士にして碌に訓練もさせずに戦場で弾避け扱いの使い捨てにしている現状、どう言い訳しても「保護」じゃないんだよな。",957,395
2022-06-25 01:40:46,"rockfish31","改良にも限度があるからなぁ・・・ウクライナで次々に撃破されるT-72B3、T-80BVM、T-90M。ロシア軍も出来るならば新型戦車T-14に全て更新したかったろう。まぁそんな予算は無いんだけど。",299,47
2022-06-18 13:27:53,"rockfish31","@JPNdefender ウクライナの空を飛ぶ資格が無いのは不法侵入してるロシア機だろ、どう見ても。",158,16
2022-06-27 01:16:30,"rockfish31","ロシアは開戦理由に「非ナチ化」という言い掛かりを掲げましたけど「ウクライナの軍拡」は掲げていません。ナチ化と軍拡を無理矢理に混同するのは止めましょう。そもそもロシアはウクライナの軍拡を深刻に思っていなかった。思っていたら開戦初頭の無謀な作戦は出来ない。

https://t.co/C1dl90ImPE",270,116
2022-06-17 17:28:57,"rockfish31","Українська авіація завдала ударів по скупченню ворога у трьох районах Херсонщини （ウクライナの航空機がヘルソン地域の3つの地区の敵の群を攻撃した） https://t.co/g5Vay7kSQR

ウクライナ空軍の戦闘機は活動しているらしい。",138,39
2022-06-17 14:56:49,"rockfish31","ボリスこれだからウクライナ国民からの人気がやたら高いんだよな。日本の一部の意識高い層からは嫌われてるけど。イギリス国内での評価はイギリス国民自身が決める事だけど、対外的な評価は結局は「自分たちを助けてくれるボリスは良い奴」になる。",2822,532
2022-06-17 20:10:53,"rockfish31","ただしウクライナ軍が自分で敷設した機雷の可能性もある。たくさん設置すると外れて漂い出すのも出て来るが…",90,26
2022-06-27 01:12:09,"rockfish31","これですか・・・2014年にクリミアと東部ウクライナが侵攻されているのを忘れてないかな・・・ https://t.co/FAx24eahhc",238,113
2022-06-19 13:02:52,"rockfish31","なんでアメリカはウクライナにMLRSではなくHIMARSを供給したかって、単にHIMARSは生産中で補充が後から幾らでも出来るからだが・・・MLRSは生産してないので、供与したら減る一方だぞ。",375,70
2022-06-25 00:19:46,"rockfish31","ああこれゲラシチェンコ内務省顧問の投稿だったのか。ウクライナ軍に供与されたHIMARSが既に実戦投入されている。　https://t.co/UaRnL9ZQb4",161,57
2022-06-26 23:59:22,"rockfish31","そもそもロシアは「ウクライナ程度なら3日で首都を攻略できる」と勘違いして舐めプしながら戦争を始めてるのだから、どう考えてもウクライナの軍拡が戦争を招いたわけではない・・・",830,273
2022-06-25 12:27:58,"rockfish31","ウクライナ軍に供与されたHIMARSの公式映像。引き渡し即実戦投入。https://t.co/w6pyCTneO6",194,70
2022-06-26 22:49:08,"rockfish31","@dreamnpk97 @bloodymanbou これは元ウクライナ大使の角茂樹さんの解説です。ロシア語を話す＝ロシア人ではない。当たり前の話ですが。 https://t.co/8sJkNeH9yc",23,3
2022-06-22 01:10:58,"rockfish31","黒海要衝の島を巡り攻防激化　空挺部隊でロシアから奪還試みる | 2022/6/22 - 共同通信 https://t.co/tSVbTTScHe 「ウクライナ軍は20日朝、南部の港湾都市オデッサの西方などから島に向けて弾道ミサイルを発射し、攻撃用無人機の支援で空挺部隊が上陸を試みた。」　

というロシア側の発表。",193,43
2022-06-24 07:40:49,"rockfish31","@masterlow 堤義明さんは米軍がファルージャで使用したM825A1白燐弾（CCWの規定上、条約違反ではない）は大騒ぎしていたのに、ロシア軍がウクライナで使用した9M22Sクラスターテルミット焼夷ロケット弾（CCWの規定上、明確な条約違反兵器）には騒いでいない。貴方は単なる反米に過ぎず反戦ではないからでしょう。",152,27
2022-06-19 23:16:46,"rockfish31","ATACMS短距離弾道ミサイル（射程300km）のウクライナ供与を見送ったアメリカが、NSM対艦ミサイル（対地攻撃も可能で射程555km）を引き渡すとは思えない。NSMはセヴァストポリもケルチ大橋も攻撃できる「巡航ミサイル」となるので、政治的にATACMS同様に難しい。ノルウェー単独での引き渡しも困難。 https://t.co/CIWDIlt57k",89,16
2022-06-26 12:45:25,"rockfish31","ロシア語やウクライナ語ではミサイルのことはロケットと呼称するので（誘導か無誘導かを区別しない）、英語で訳した場合でもロケットがそのまま残ることが多い。",149,33
2022-06-18 15:08:57,"rockfish31","@IngaSakimori トランプならロシアの為にウクライナ領土を切り売りしてると思うぞ。",30,3
2022-06-19 20:00:32,"rockfish31","＞ロシア国防省は19日、巡航ミサイル「カリブル」でウクライナ東部にあるウクライナ軍の司令部を攻撃したと発表しました。
＞この攻撃で作戦会議中だった将校ら50人以上を殺害したとしています。

東部の最前線の敵コマンドポストを発見しておいて、遠くからカリブル巡航ミサイルを撃ち込んだらしい。",309,77
2022-06-25 00:27:01,"rockfish31","これはドンバス方面でのロシア軍の迎撃で地対空ミサイルが撃ち上がる様子。ウクライナ軍による長距離攻撃が多数行われてパニック状態らしいが・・・トーチカUだと数は撃てないので、多数飛来したとなるとHIMARSの仕業かなぁ。　https://t.co/FyCPQ9j1tC",116,45
2022-06-25 18:46:02,"rockfish31","「高機動ロケット砲システム（ハイマース）を供与した米国政府は、ウクライナ兵の訓練を開始したものの、いまだに実際の戦闘では使用できる状態になっていない。米軍関係者は「まもなくウクライナで使用されるだろう」とのコメントを繰り返すばかりだ。」

昨日使用されましたよ。タイミングの悪い記事",681,173
2022-06-19 23:59:22,"rockfish31","もしウクライナへの輸送船団に各国が護衛艦隊を付ける方式を取るなら、イラン・イラク戦争での「タンカー戦争」が参考になる。アーネスト・ウィル作戦、プレイング・マンティス作戦。どれだけの損害が出たか。",284,73
2022-06-19 08:39:44,"rockfish31","ロシア軍が言うには「トール地対空ミサイルならバイラクタルTB2無人機なんて恐れるに足らず」らしいのだけど、同じ短距離地対空ミサイルのパーンツィリS-1の方は対戦成績が良くない。ウクライナだけでなくシリアやリビアでもトールの方が善戦していたが… https://t.co/qjIccHpPf8",65,17
2022-06-19 22:33:48,"rockfish31","ロシア空挺軍司令官解任か　ウクライナ作戦失敗で引責―米研究所：時事ドットコム https://t.co/RoNhFeuFXq 

空挺軍が悪いというよりは、空挺軍にホストメル空港への無謀で強引なヘリボーン作戦を命令したプーチンが悪いんじゃないですかねぇ・・・",1029,323
2022-06-19 23:56:43,"rockfish31","あとまぁ根本的な話として「仮に対艦ミサイルでロシアの水上戦闘艦を排除しても、潜水艦は活動できるし、クリミア半島から地対艦ミサイルは飛んで来る、攻撃機も飛んで来る」ので、ウクライナに地対艦ミサイルを渡せば航路の問題が解決するという話ではないです。",581,131
2022-06-24 08:00:37,"rockfish31","@fx_aquakun @taiyonoibiki @BellaDissonanza 清水義明氏は米軍がファルージャで使用したM825A1白燐弾（条約違反兵器ではない）は大騒ぎしていたのに、ロシア軍がウクライナで使用した9M22Sクラスターテルミット焼夷ロケット弾（明確な条約違反兵器）には全く騒いでいない。彼の行動はダブルスタンダード。行動の動機は反戦ではなく反米でしかない",18,0
2022-06-17 14:48:17,"rockfish31","ロシア艦「ヴァシーリー・べフ」撃破の報告はウクライナ海軍の公式発表のこれ以降、ロシア側は特に反応が無い。

https://t.co/qFbSe9rBMB",111,34
2022-06-19 23:07:12,"rockfish31","ウクライナへのNSM対艦ミサイルの供与は難しいと思う。射程が長く対地攻撃が可能だから。
・NSM　射程185km”以上”
・JSM　射程185km （low-low-low profile）
・JSM　射程555km （high-high-low profile）
NSMの空中発射型JSMがこの性能ならNSMも飛行プロファイル次第で555km近く飛べる可能性が高い。 https://t.co/kJTomUF5OK",199,43
2022-06-18 13:28:35,"rockfish31","そもそも、ウクライナの空を飛ぶ資格が無いのは不法侵入してるロシア機だろ、どう考えても。",956,187
2022-06-19 13:16:24,"rockfish31","ベルジャンシク港でロシア海軍の揚陸艦サラトフをウクライナ軍がトーチカU弾道ミサイルを使って撃沈した件、目標位置の標定は衛星画像でいいのかな。",115,28
2022-06-19 09:38:33,"rockfish31","日本の防衛費GDP1％縛りは公式には無くなってる扱いだけど、事実上ずっと従っていたままで、軍拡はして来なかった。しかしもう中国どころか韓国にも防衛費を抜かれてる状況なので、そのうち揺り戻しが来るとは予想していた。ちょうどそのタイミングでウクライナ危機を受けてドイツが先に軍拡を決断と…",564,226
2022-06-18 22:34:21,"rockfish31","ロシア軍、侵攻後12時間以内にキーウ陥落と予想　ウクライナ国防相：CNN （2022.06.17） https://t.co/t0yx2gN04W 「ロシア軍は首都キーウ（キエフ）が2月24日の侵攻開始から12時間以内に陥落すると予想していたと明らかにした。」

見積もり早過ぎない？",1039,302
2022-06-26 14:54:34,"rockfish31","質問があったので全体にも紹介。

＞ドネツク人民共和国の兵士たちって本当にそこに住んでるウクライナ人たちなんですか？

そうだよ。指揮官クラスではロシア軍からの出向もあるけど、兵隊はドネツク州のウクライナ人。

＞無理やり行かされてるんですか？

そうだよ。根こそぎで総動員されてる。",1170,427
2022-06-25 00:20:54,"rockfish31","こっちの動画はウクライナ軍のスメルチ多連装ロケット。　https://t.co/0xlJ3MBojX",73,18
2022-06-17 22:00:36,"rockfish31","ウクライナ穀物輸出、オデーサは見込み薄　ルーマニア経由検討＝仏大統領：朝日新聞 https://t.co/t9STK0wuPB 「代替手段としてオデーサからルーマニアのドナウ川までを結ぶ鉄道ルートの再建協議が進んでいる。」",172,85
2022-06-24 18:31:42,"rockfish31","ウクライナに供与されたHIMARSがもう実戦投入？　https://t.co/U58wxir8v8",110,33
2022-06-21 12:21:45,"rockfish31","ウクライナ、対艦ミサイルで攻撃成功　ロシアの黒海制海能力減退：時事ドットコム https://t.co/WYQo3KNlP6 ロシア海軍の外洋曳船ヴァシリー・べフの撃沈は決定的な証拠の裏付けはまだの筈では。命中動画は出ているけど本物かどうかまだ確定してなかったような・・・確定でいいの？",113,36
2022-06-20 14:58:51,"rockfish31","武力全般の意味で捉えるとウクライナの抵抗を否定することになりかねない。話し合いによる解決は、問答無用で襲い掛かって来る相手には通じない。全面降伏は話し合いでの解決とは言わない。",1324,373
2022-06-18 13:04:43,"rockfish31","Мацуда Джюко（マツダ・ジューコー）
Привид Києва （プルィーヴィド・クィーイェヴァ）

漫画「キエフの幽霊」ウクライナ語版。
https://t.co/LNsjo9aItV",142,51
2022-06-18 14:46:26,"rockfish31","明日のNHK-BS1の「デジタル・ウクライナ：衛星が変えた戦争」は注目。民間商業衛星は戦争報道を完全に変えてしまった。戦力の集結の証拠。戦況の推移の証拠。戦争犯罪の証拠。これらが軍や政府以外でも市民が確認ができてしまう。　https://t.co/biKSG4DlST",518,270
2022-06-20 20:02:33,"rockfish31","U.S. drone sale to Ukraine hits snag | Reuters https://t.co/nFOB8on9cj 

ウクライナへのMQ-1Cグレイイーグル無人攻撃機の供与は中止。ロシアに撃墜されて鹵獲されることを恐れたため。鹵獲されても構わない技術レベルの低い装備に換装して引き渡すこともできるが、その場合は数カ月遅れてしまう。",147,68
2022-06-17 20:08:34,"rockfish31","これはウクライナ海軍公式の投稿動画。オデーサ沿岸にロシア軍が敷設した係維機雷が外れて漂流して来たので、機関砲で射撃して処分したという発表。 https://t.co/sjVZy3NbF2",155,63
2022-06-18 13:48:38,"rockfish31","HIMARSが7/1にウクライナに引き渡されるという情報そのものが囮で違う日に納入するとかフェイントを掛けようぜ。",161,22
2022-06-18 22:19:18,"rockfish31","砲弾の破片を被弾してるけど、アルミニウムの削れ方ですね。そういえばウクライナ軍に供与されたこのM109自走榴弾砲はアルミニウム製車体だった・・・ https://t.co/AsYrpjjRSM",142,30
2022-06-24 13:03:17,"rockfish31","German Industry Ready to Sell 100 PzH 2000 SPGs to Ukraine At Once – Ukraine’s Ambassador in Germany | Defense Express https://t.co/N1JHwd5oHk 

ドイツはPzH2000自走榴弾砲を100台ウクライナに供与可能であるという話。",99,39
2022-06-19 17:32:07,"rockfish31","根拠の無いデマ。というかキーウは包囲されていない。ロシア軍は首都近郊のホストメル空港を奪取して増援を送る空挺作戦で短期間で攻略しようとして、ウクライナ軍の激しい抵抗に遭い失敗して敗走したただけ。https://t.co/NnlMbAmgsx",2572,829
2022-06-27 01:02:18,"rockfish31","@kabutoyama_taro ＞少なくともロシア側はほぼそういった主張ですね。

いや、ロシアは開戦理由にウクライナの軍拡なんて挙げてない。むしろロシアはウクライナの軍事力を舐めてかかって3日で首都攻略できると無謀な空挺作戦を仕掛けて撃退されているわけですが・・・

＞ネオナチ云々は要するにそれ。

軍拡と無関係。",23,4
2022-06-17 14:26:28,"rockfish31","ウクライナのこの状況だと、ゲパルト対空戦車の出番が想定外に多そうだなという・・・",420,61
2022-06-26 15:16:53,"rockfish31","ウクライナ軍が敵の後方をトーチカU弾道ミサイルで打撃。　https://t.co/aKogEtPrsU",101,32
2022-06-25 19:14:03,"rockfish31","HIMARSは6月1日にウクライナ供与が正式決定、6月24日には戦闘投入されている。わずか3週間程度での訓練期間での投入はむしろ異例な速さ。これを遅いと言ったら・・・専門家じゃないでしょ。",499,114
2022-06-25 03:32:40,"rockfish31","@Col_AYABE @KimK91fw セガサターンの名作『ガングリフォン』はなぜ未来を予見できたのか　ロシアのウクライナ侵攻、オバマ演説…｜石動 竜仁（2020/05/08） https://t.co/hz6yqRa8pG 

まさかこの記事の2年後にハリコフが戦場になるとはなぁ… https://t.co/g4Kj4LVGZs",67,31
2022-06-19 13:01:00,"rockfish31","NHK-BS1で「デジタル・ウクライナ：衛星が変えた戦争」が始まった。視聴",116,10
2022-06-22 14:55:42,"rockfish31","え、ドイツのMLRS（MARSⅡ/ MLRS-E）はまだGMLRS仕様じゃないので改修に時間が掛かると以前の報道があったけど、この記事ではもうウクライナ兵向けの訓練を開始したとあある。 https://t.co/x1ThjCWbJ5",77,21
2022-06-18 14:59:52,"rockfish31","@JPNdefender 不法侵入してきたロシア軍こそウクライナ領空を飛ぶ資格が無いんだよなぁ。ちゃんと人間の常識を身に着けてから投稿しましょうね。",28,0
2022-06-26 23:51:50,"rockfish31","え、ウクライナの軍拡が戦争を招いたとか、そんな頓珍漢な主張があるの？　そんなのロシア側の開戦理由になってないけれど・・・",1412,395
2022-06-22 14:19:53,"rockfish31","@dankogai ＞という事例をまさにウクライナでも目の当たりにしていますよね。

むしろ我々は「あのような強引な空挺での強襲をロシアがやったなら、中国もやるぞ」と見ています。次は失敗点を修正して敢行して来るでしょう。大規模な斬首作戦はあり得ると証明されてしまったのです・・・",24,4
2022-06-19 12:19:55,"rockfish31","Борисов сообщил о применении российскими военными Су-57 на Украине https://t.co/sXSuFrJSAz 

ロシアのユーリー・ボリソフ副首相はウクライナへのSu-57戦闘機の投入を言及。",106,47
2022-06-22 11:38:55,"rockfish31","NHK-BS1で午後9時10分から「デジタル・ウクライナ：衛星が変えた戦争」の再放送。",202,38
2022-06-25 17:53:24,"rockfish31","実はロシア軍がイスカンデルをベラルーシに配備するだけならもう既にやってる。開戦初期にベラルーシからウクライナを攻撃をしていたから。だから核弾頭の実際の搬入と貯蔵施設が無い限りはあまり変化は無い、",200,55
2022-06-17 15:46:45,"rockfish31","@pmx003_the_o もしイギリス世論がウクライナを見捨てるようなら、何もかも終わりだからなぁ・・・イギリスが支援国の中では最強硬派に近い。イギリス以上はポーランドやバルト三国くらいか。",137,28
2022-06-20 19:32:34,"rockfish31","ウクライナ：ロシアがクラスター弾で病院を攻撃 | ヒューマンライツウォッチ（2022年2月25日） https://t.co/Vm7Z5UXyUC 「この兵器の残骸が9M79型トーチカ弾道ミサイルに搭載された9N123クラスター弾のノーズコーンとレーダー高度計アンテナであると特定した。」 https://t.co/FzMhJSnnfl",268,99
2022-06-17 17:58:58,"rockfish31","Спасатель Василий Бех (судно) - Вікіпедія https://t.co/SKcPQk2VDK 

ウクライナ軍に撃破されたらしいロシア海軍黒海艦隊の外洋曳船「ヴァシーリー・べフ」のウクライナ語版Wikipedia。新しい情報が色々書き込まれてるけど、情報が錯綜してる。",71,16
2022-06-17 21:37:38,"rockfish31","英国、ウクライナ兵を4カ月で1万人ずつ訓練へ　首相がキーウ訪問: 日本経済新聞 https://t.co/Bse502NIsI",851,272
2022-06-26 13:31:28,"rockfish31","意外にもKh-55系がはっきりとした証拠映像が取られていない。在庫がある以上、ウクライナに投入されているのは間違いなさそうなのだが・・・・",38,9
2022-06-21 14:50:17,"rockfish31","ウクライナ国産の最新鋭兵器「ブレヴィイ（Буревій）」が戦闘投入されている。ウラガン多連装ロケットの近代化型でタトラT815-7系のシャーシ。　https://t.co/b85TvA7mJF https://t.co/IHydgwM20o",74,25
2022-06-23 15:20:19,"rockfish31","@G2YXvQc8dEKhy6x そんな専門家は見たことが無いです。例えばテレビによく出る専門家の小泉悠先生はちゃんと事前にロシアのウクライナ侵攻を予想されていました。貴方の言う専門家は、専門家ではないのでは？",114,27
2022-06-18 13:53:21,"rockfish31","ウクライナ軍、戦車やミサイルなど「５０％を失った」…損害情報を積極的に開示 : 読売新聞オンライン https://t.co/PUTLEsjAlq 「歩兵戦闘車約１３００台、戦車約４００両、ミサイル発射システム約７００基など、それぞれ最大で５０％を失った」

BMPを戦車の3倍も失ってる。",770,379
2022-06-17 18:16:46,"rockfish31","ヘルファイア地上発射型も射程8kmくらいだしブリムストーンもそれくらいでしょう。ヘルファイア地上発射型（Robot 17）やブリムストーンを対艦ミサイルと報道したりするから更に勘違いした報道も出て来るわけで・・・ウクライナ軍自身がヘルファイアもブリムストーンも対戦車ミサイルとして使う予定。",68,16
